platform,test_type,image_tier,count,mean_total_latency,median_total_latency,p95_total_latency,mean_processing_sec,std_total_latency
aws,cold_start,large,3,7.7899,7.7162,8.139,6.759,0.3649
aws,cold_start,medium,3,3.7401,3.3118,5.0016,3.1433,1.2895
aws,cold_start,small,3,1.6355,2.0452,2.1105,0.2747,0.7734
aws,concurrency_100,large,100,7.7037,7.3682,8.2971,6.7344,0.4841
aws,concurrency_100,medium,100,2.5729,2.5832,2.764,2.0513,0.1373
aws,concurrency_100,small,100,1.02,1.0668,1.7566,0.219,0.4256
aws,concurrency_50,large,50,7.6042,7.5974,7.7531,7.0284,0.1377
aws,concurrency_50,medium,50,2.7463,2.7424,2.8211,2.194,0.047
aws,concurrency_50,small,50,2.0505,2.1352,2.2324,0.406,0.295
aws,concurrency_500,large,400,7.8422,8.065,8.3334,6.823,0.4338
aws,concurrency_500,medium,400,2.9852,2.8872,3.5539,2.1218,0.3512
aws,concurrency_500,small,481,1.7279,2.1577,2.3181,0.3236,0.6146
aws,warm,large,100,7.0366,6.9822,7.4383,6.3869,0.1457
aws,warm,medium,100,2.4434,2.3976,2.8,1.9049,0.1185
aws,warm,small,100,0.6388,0.6057,1.0269,0.1426,0.1117
gcp,cold_start,large,3,5.1517,4.8201,7.2391,3.8806,2.2091
gcp,cold_start,medium,3,1.7131,1.6324,2.1918,1.1111,0.5053
gcp,cold_start,small,3,1.0804,0.6398,1.8575,0.0771,0.7903
gcp,concurrency_100,large,58,10.7935,10.8327,13.005,8.6692,1.9462
gcp,concurrency_100,medium,100,3.3228,2.8448,6.6114,1.6243,1.8279
gcp,concurrency_100,small,100,1.7882,1.4921,3.6394,0.0981,0.9441
gcp,concurrency_50,large,50,10.0361,10.3487,11.9095,9.0625,1.4634
gcp,concurrency_50,medium,50,2.2497,1.9656,3.9325,1.3566,0.8981
gcp,concurrency_50,small,50,2.6347,2.4999,4.2328,0.0944,1.1671
gcp,concurrency_500,large,94,11.4537,10.4446,19.1318,4.3885,4.4882
gcp,concurrency_500,medium,259,7.9944,7.87,12.9786,2.218,3.3958
gcp,concurrency_500,small,500,2.425,2.4496,3.9969,0.0999,0.9142
gcp,warm,large,100,5.6139,6.9632,7.4259,4.748,1.8985
gcp,warm,medium,100,2.3345,2.3223,2.524,1.7787,0.1319
gcp,warm,small,100,0.5726,0.5743,0.6325,0.0884,0.0602
